edition,match_number,match_id,stage,team_id,team,opponent,team_match_number,player_id,player,nominal_minutes,lineup_status,on_minute,off_minute,played_minutes,source_url,source_archive
2014,12,300186505,group,43817,Iran,Nigeria,1,185641,Javad NEKOUNAM,90,starter,0,90,90,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186505?language=en,data/raw/2014/fifa/live/m012_300186505.json
2014,27,300186466,group,43817,Iran,Argentina,2,185641,Javad NEKOUNAM,90,starter,0,90,90,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186466?language=en,data/raw/2014/fifa/live/m027_300186466.json
2014,44,300186464,group,43817,Iran,Bosnia-Herzegovina,3,185641,Javad NEKOUNAM,90,starter,0,90,90,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186464?language=en,data/raw/2014/fifa/live/m044_300186464.json
2014,12,300186505,group,43817,Iran,Nigeria,1,213170,Masoud SHOJAEI,90,used_substitute,88,90,2,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186505?language=en,data/raw/2014/fifa/live/m012_300186505.json
2014,27,300186466,group,43817,Iran,Argentina,2,213170,Masoud SHOJAEI,90,starter,0,75,75,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186466?language=en,data/raw/2014/fifa/live/m027_300186466.json
2014,44,300186464,group,43817,Iran,Bosnia-Herzegovina,3,213170,Masoud SHOJAEI,90,starter,0,45,45,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186464?language=en,data/raw/2014/fifa/live/m044_300186464.json
2014,12,300186505,group,43817,Iran,Nigeria,1,237949,Andranik TIMOTIAN,90,starter,0,90,90,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186505?language=en,data/raw/2014/fifa/live/m012_300186505.json
2014,27,300186466,group,43817,Iran,Argentina,2,237949,Andranik TIMOTIAN,90,starter,0,90,90,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186466?language=en,data/raw/2014/fifa/live/m027_300186466.json
2014,44,300186464,group,43817,Iran,Bosnia-Herzegovina,3,237949,Andranik TIMOTIAN,90,starter,0,90,90,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186464?language=en,data/raw/2014/fifa/live/m044_300186464.json
2014,12,300186505,group,43817,Iran,Nigeria,1,330659,Karim ANSARIFARD,90,unused_substitute,,,0,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186505?language=en,data/raw/2014/fifa/live/m012_300186505.json
2014,27,300186466,group,43817,Iran,Argentina,2,330659,Karim ANSARIFARD,90,unused_substitute,,,0,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186466?language=en,data/raw/2014/fifa/live/m027_300186466.json
2014,44,300186464,group,43817,Iran,Bosnia-Herzegovina,3,330659,Karim ANSARIFARD,90,used_substitute,67,90,23,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186464?language=en,data/raw/2014/fifa/live/m044_300186464.json
2014,6,300186507,group,43819,Japan,Côte d'Ivoire,1,184373,Yasuyuki KONNO,90,unused_substitute,,,0,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186507?language=en,data/raw/2014/fifa/live/m006_300186507.json
2014,22,300186454,group,43819,Japan,Greece,2,184373,Yasuyuki KONNO,90,starter,0,90,90,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186454?language=en,data/raw/2014/fifa/live/m022_300186454.json
2014,37,300186457,group,43819,Japan,Colombia,3,184373,Yasuyuki KONNO,90,starter,0,90,90,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186457?language=en,data/raw/2014/fifa/live/m037_300186457.json
2014,6,300186507,group,43819,Japan,Côte d'Ivoire,1,268594,Masato Morishige,90,starter,0,90,90,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186507?language=en,data/raw/2014/fifa/live/m006_300186507.json
2014,22,300186454,group,43819,Japan,Greece,2,268594,Masato Morishige,90,unused_substitute,,,0,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186454?language=en,data/raw/2014/fifa/live/m022_300186454.json
2014,37,300186457,group,43819,Japan,Colombia,3,268594,Masato Morishige,90,unused_substitute,,,0,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186457?language=en,data/raw/2014/fifa/live/m037_300186457.json
2014,6,300186507,group,43819,Japan,Côte d'Ivoire,1,271253,Maya Yoshida,90,starter,0,90,90,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186507?language=en,data/raw/2014/fifa/live/m006_300186507.json
2014,22,300186454,group,43819,Japan,Greece,2,271253,Maya Yoshida,90,starter,0,90,90,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186454?language=en,data/raw/2014/fifa/live/m022_300186454.json
2014,37,300186457,group,43819,Japan,Colombia,3,271253,Maya Yoshida,90,starter,0,90,90,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186457?language=en,data/raw/2014/fifa/live/m037_300186457.json
