edition,edition_status,card_id,provider,reconciliation_status,fouls_strictly_before_card,foul_linked,fouls_through_card,provenance_status,source_url
2014,final,2014-001-207809,source_unavailable,source_unavailable,,,,complete_event_source_unavailable,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,2014-001-207815,source_unavailable,source_unavailable,,,,complete_event_source_unavailable,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,2014-001-207818,source_unavailable,source_unavailable,,,,complete_event_source_unavailable,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,2014-001-207822,source_unavailable,source_unavailable,,,,complete_event_source_unavailable,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,2014-002-207828,source_unavailable,source_unavailable,,,,complete_event_source_unavailable,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,2014-002-207834,source_unavailable,source_unavailable,,,,complete_event_source_unavailable,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,2014-003-207839,source_unavailable,source_unavailable,,,,complete_event_source_unavailable,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,2014-003-207841,source_unavailable,source_unavailable,,,,complete_event_source_unavailable,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,2014-003-207851,source_unavailable,source_unavailable,,,,complete_event_source_unavailable,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,2014-003-207852,source_unavailable,source_unavailable,,,,complete_event_source_unavailable,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,2014-004-207864,source_unavailable,source_unavailable,,,,complete_event_source_unavailable,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,2014-004-207867,source_unavailable,source_unavailable,,,,complete_event_source_unavailable,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,2014-004-207870,source_unavailable,source_unavailable,,,,complete_event_source_unavailable,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,2014-004-207877,source_unavailable,source_unavailable,,,,complete_event_source_unavailable,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,2014-005-207888,source_unavailable,source_unavailable,,,,complete_event_source_unavailable,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,2014-005-207889,source_unavailable,source_unavailable,,,,complete_event_source_unavailable,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,2014-005-207890,source_unavailable,source_unavailable,,,,complete_event_source_unavailable,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,2014-006-207942,source_unavailable,source_unavailable,,,,complete_event_source_unavailable,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,2014-006-207945,source_unavailable,source_unavailable,,,,complete_event_source_unavailable,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,2014-006-207946,source_unavailable,source_unavailable,,,,complete_event_source_unavailable,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,2014-006-207949,source_unavailable,source_unavailable,,,,complete_event_source_unavailable,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,2014-007-207906,source_unavailable,source_unavailable,,,,complete_event_source_unavailable,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,2014-007-207908,source_unavailable,source_unavailable,,,,complete_event_source_unavailable,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,2014-007-207918,source_unavailable,source_unavailable,,,,complete_event_source_unavailable,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,2014-007-207924,source_unavailable,source_unavailable,,,,complete_event_source_unavailable,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,2014-008-207940,source_unavailable,source_unavailable,,,,complete_event_source_unavailable,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,2014-009-207964,source_unavailable,source_unavailable,,,,complete_event_source_unavailable,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,2014-009-207971,source_unavailable,source_unavailable,,,,complete_event_source_unavailable,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,2014-010-207982,source_unavailable,source_unavailable,,,,complete_event_source_unavailable,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,2014-010-207983,source_unavailable,source_unavailable,,,,complete_event_source_unavailable,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,2014-010-207984,source_unavailable,source_unavailable,,,,complete_event_source_unavailable,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,2014-010-207985,source_unavailable,source_unavailable,,,,complete_event_source_unavailable,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,2014-010-207988,source_unavailable,source_unavailable,,,,complete_event_source_unavailable,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,2014-010-207994,source_unavailable,source_unavailable,,,,complete_event_source_unavailable,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,2014-010-208004,source_unavailable,source_unavailable,,,,complete_event_source_unavailable,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
