edition,edition_status,match_number,stage,team_id,team,provider,has_in_play_player_card,first_card_id,fouls_before_first_card,status,source_url
2014,final,1,group,43924,Brazil,source_unavailable,yes,2014-001-207809,,source_unavailable,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,1,group,43938,Croatia,source_unavailable,yes,2014-001-207815,,source_unavailable,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,2,group,43911,Mexico,source_unavailable,yes,2014-002-207828,,source_unavailable,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,2,group,43849,Cameroon,source_unavailable,yes,2014-002-207834,,source_unavailable,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,3,group,43969,Spain,source_unavailable,yes,2014-003-207851,,source_unavailable,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,3,group,43960,Netherlands,source_unavailable,yes,2014-003-207839,,source_unavailable,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,4,group,43925,Chile,source_unavailable,yes,2014-004-207877,,source_unavailable,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,4,group,43976,Australia,source_unavailable,yes,2014-004-207864,,source_unavailable,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,5,group,43926,Colombia,source_unavailable,yes,2014-005-207888,,source_unavailable,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,5,group,43949,Greece,source_unavailable,yes,2014-005-207889,,source_unavailable,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,6,group,43854,Côte d'Ivoire,source_unavailable,yes,2014-006-207945,,source_unavailable,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,6,group,43819,Japan,source_unavailable,yes,2014-006-207942,,source_unavailable,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,7,group,43930,Uruguay,source_unavailable,yes,2014-007-207906,,source_unavailable,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,7,group,43901,Costa Rica,source_unavailable,no,,,source_unavailable,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,8,group,43942,England,source_unavailable,yes,2014-008-207940,,source_unavailable,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,8,group,43954,Italy,source_unavailable,no,,,source_unavailable,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,9,group,43971,Switzerland,source_unavailable,yes,2014-009-207971,,source_unavailable,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,9,group,43927,Ecuador,source_unavailable,yes,2014-009-207964,,source_unavailable,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
