rank,edition,team_id,team,exposed_players,mean_omega,exp_susp_min,fouls_all,exp_susp_per_foul_all,fouls_knockout,exp_susp_per_foul_knockout
1,2026,43850,Cabo Verde,4,0.782512127,644.634158,27,23.875339,12,53.719513
2,2026,43928,Paraguay,7,0.768985645,1545.762698,66,23.420647,25,61.830508
3,2026,43883,South Africa,6,0.700727513,810.099603,38,21.318411,10,81.00996
4,2026,43855,Egypt,8,0.742788628,1235.651376,59,20.943244,25,49.426055
5,2026,43854,Côte d'Ivoire,4,0.661111111,499.15,29,17.212069,6,83.191667
6,2026,43899,Canada,9,0.654074074,1145.775556,72,15.913549,40,28.644389
7,2026,43924,Brazil,6,0.519876543,788.235556,51,15.455599,11,71.657778
8,2026,44037,Bosnia and Herzegovina,8,0.629689122,824.261267,59,13.97053,13,63.404713
9,2026,43934,Austria,4,0.829861111,629.947222,47,13.403132,15,41.996481
10,2026,43963,Portugal,5,0.497333333,563.648889,44,12.810202,15,37.576593
11,2026,43921,USA,7,0.75377059,712.489476,56,12.723026,18,39.582749
12,2026,43926,Colombia,8,0.80234375,877.041667,70,12.529167,35,25.058333
13,2026,43843,Algeria,3,0.55462963,346.333333,29,11.942529,12,28.861111
14,2026,20014,Congo DR,5,0.627777778,512.65,44,11.651136,12,42.720833
15,2026,43942,England,6,0.590446076,697.647899,62,11.252385,25,27.905916
16,2026,43976,Australia,5,0.892136752,507.425641,46,11.030992,12,42.28547
17,2026,43938,Croatia,3,0.89537037,460.969444,45,10.243765,12,38.41412
18,2026,43872,Morocco,5,0.746666667,740.468421,74,10.00633,42,17.630201
19,2026,43935,Belgium,7,0.64085213,773.803509,78,9.920558,49,15.791908
20,2026,43927,Ecuador,7,0.562698413,460.838889,49,9.404875,14,32.917064
21,2026,43860,Ghana,5,0.358888889,505.594444,56,9.028472,10,50.559444
22,2026,43970,Sweden,5,0.887092482,339.039837,43,7.884647,10,33.903984
23,2026,43819,Japan,4,0.60625,430.008333,55,7.818333,13,33.077564
24,2026,43971,Switzerland,5,0.743574029,672.510232,87,7.730003,50,13.450205
25,2026,43911,Mexico,5,0.683888889,387.944167,58,6.688693,24,16.16434
26,2026,43948,Germany,3,0.769230769,337.458974,51,6.616843,18,18.747721
27,2026,43960,Netherlands,3,0.487179487,282.805128,44,6.427389,18,15.711396
28,2026,43879,Senegal,3,0.464102564,145.264103,36,4.035114,12,12.105342
29,2026,43946,France,4,0.639351852,235.927778,59,3.998776,35,6.740794
30,2026,43969,Spain,5,0.758148148,251.892593,68,3.704303,34,7.408606
31,2026,43961,Norway,3,0.72748538,190.596491,58,3.286146,23,8.286804
32,2026,43922,Argentina,6,0.357383714,153.590347,73,2.103977,40,3.839759
