edition,edition_status,card_id,match_number,stage,team_id,team,player_id,player,card_type,minute_label,reason_class,provider,reconciliation_status,fouls_strictly_before_card,foul_linked,fouls_through_card,provenance_status,official_source_url,event_source_url
2014,final,2014-001-207809,1,group,43924,Brazil,314197,NEYMAR JR,Y,26',foul_play,source_unavailable,source_unavailable,,,,complete_event_source_unavailable,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186456?language=en,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,2014-001-207822,1,group,43924,Brazil,367918,Luiz Gustavo,Y,87',foul_play,source_unavailable,source_unavailable,,,,complete_event_source_unavailable,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186456?language=en,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,2014-001-207815,1,group,43938,Croatia,297373,ĆORLUKA,Y,65',foul_play,source_unavailable,source_unavailable,,,,complete_event_source_unavailable,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186456?language=en,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,2014-001-207818,1,group,43938,Croatia,312432,LOVREN,Y,68',foul_play,source_unavailable,source_unavailable,,,,complete_event_source_unavailable,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186456?language=en,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,2014-002-207834,2,group,43849,Cameroon,200259,Nounkeu,Y,76',foul_play,source_unavailable,source_unavailable,,,,complete_event_source_unavailable,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186492?language=en,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,2014-002-207828,2,group,43911,Mexico,238112,H. MORENO,Y,56',foul_play,source_unavailable,source_unavailable,,,,complete_event_source_unavailable,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186492?language=en,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,2014-003-207839,3,group,43960,Netherlands,298677,J. de Guzmán,Y,24',foul_play,source_unavailable,source_unavailable,,,,complete_event_source_unavailable,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186510?language=en,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,2014-003-207841,3,group,43960,Netherlands,313021,De Vrij,Y,40',foul_play,source_unavailable,source_unavailable,,,,complete_event_source_unavailable,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186510?language=en,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,2014-003-207852,3,group,43960,Netherlands,217315,Robin VAN PERSIE,Y,65',foul_play,source_unavailable,source_unavailable,,,,complete_event_source_unavailable,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186510?language=en,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,2014-003-207851,3,group,43969,Spain,176644,Casillas,Y,64',dissent,source_unavailable,source_unavailable,,,,complete_event_source_unavailable,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186510?language=en,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,2014-004-207877,4,group,43925,Chile,318150,C. Aránguiz,Y,85',foul_play,source_unavailable,source_unavailable,,,,complete_event_source_unavailable,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186473?language=en,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,2014-004-207864,4,group,43976,Australia,213001,CAHILL,Y,43',unknown,source_unavailable,source_unavailable,,,,complete_event_source_unavailable,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186473?language=en,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,2014-004-207867,4,group,43976,Australia,197514,JEDINAK,Y,57',foul_play,source_unavailable,source_unavailable,,,,complete_event_source_unavailable,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186473?language=en,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,2014-004-207870,4,group,43976,Australia,197411,MILLIGAN,Y,67',foul_play,source_unavailable,source_unavailable,,,,complete_event_source_unavailable,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186473?language=en,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,2014-005-207888,5,group,43926,Colombia,280487,C. SANCHEZ,Y,25',foul_play,source_unavailable,source_unavailable,,,,complete_event_source_unavailable,https://api.fifa.com/api/v3/timelines/17/251164/255931/300186471?language=en,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
