rank,edition,team_id,team,exposed_players,mean_omega,exp_susp_min,fouls_all,exp_susp_per_foul_all,fouls_knockout,exp_susp_per_foul_knockout
1,2018,43922,Argentina,8,0.775,1093.622222,55,19.88404,15,72.908148
2,2018,43819,Japan,5,0.756111111,642.611111,37,17.367868,9,71.401235
3,2018,43911,Mexico,7,0.913492064,905.830556,54,16.77464,18,50.32392
4,2018,43926,Colombia,8,0.81675653,932.349557,63,14.799199,23,40.536937
5,2018,43924,Brazil,5,0.721111111,675.991667,50,13.519833,20,33.799583
6,2018,43971,Switzerland,7,0.749603175,692.95,53,13.074528,13,53.303846
7,2018,43963,Portugal,6,0.625,678,55,12.327273,13,52.153846
8,2018,43970,Sweden,5,0.768666667,729.388333,65,11.221359,21,34.732778
9,2018,43969,Spain,2,1,320,34,9.411765,5,64
10,2018,43938,Croatia,12,0.595138889,984.311111,114,8.634308,59,16.683239
11,2018,43946,France,8,0.779761905,764.433333,93,8.219713,56,13.650595
12,2018,43935,Belgium,7,0.663945578,716.848413,88,8.146005,45,15.929965
13,2018,43941,Denmark,3,0.699145299,381.469231,54,7.064245,19,20.077328
14,2018,43942,England,5,0.702028985,425.742029,67,6.354359,34,12.521824
15,2018,43965,Russia,6,0.641386555,567.271219,95,5.971276,44,12.892528
16,2018,43930,Uruguay,2,0.588888889,49.877778,63,0.791711,30,1.662593
